Query,Interest,Year,ID,Title,Link,Status,Phase,Conditions
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03896737,"Daratumumab-bortezomib-dexamethasone (Dara-VCd) vs Bortezomib-Thalidomide-Dexamethasone (VTd), Then Maintenance With Ixazomib (IXA) or IXA-Dara",https://clinicaltrials.gov/study/NCT03896737,ACTIVE_NOT_RECRUITING,PHASE2,Multiple Myeloma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT01108445,Phase II Study of Afinitor vs. Sutent in Patients With Metastatic Non-Clear Cell Renal Cell Carcinoma,https://clinicaltrials.gov/study/NCT01108445,COMPLETED,PHASE2,Advanced Non-clear Cell Renal Cell Carcinoma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04882475,Biological Insights of First Relapsed-refractory Patients With Mantle Cell Lymphoma: the MANTLE-FIRST BIO Study.,https://clinicaltrials.gov/study/NCT04882475,ACTIVE_NOT_RECRUITING,,Mantle Cell Lymphoma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05793281,An Observational Study to Learn More About NTRK Gene Fusion Positive in Solid Tumor in Japan,https://clinicaltrials.gov/study/NCT05793281,COMPLETED,,Advanced or Recurrent Solid Tumor Harboring an NTRK Gene Fusion
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07216781,Safety and Efficacy of Injectable Klotho Plasmid Gene Therapy in Humans,https://clinicaltrials.gov/study/NCT07216781,RECRUITING,PHASE1,Healthy Adults
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06509919,Application of a Novel Biomarker Based on Plasma cfDNA Assay in the Early Diagnosis of Prostate Cancer,https://clinicaltrials.gov/study/NCT06509919,RECRUITING,,Prostate Cancer
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03989219,Methylation of cfDNA in Diagnosing and Monitoring Pulmonary Nodule,https://clinicaltrials.gov/study/NCT03989219,COMPLETED,,"Pulmonary Nodule, Solitary"
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,https://clinicaltrials.gov/study/NCT04981119,RECRUITING,,"Solid Tumor, Adult; Colorectal Cancer; Non Small Cell Lung Cancer; Pancreatic Cancer; CRC; NSCLC; Pancreas Cancer; Mesothelioma; Ovarian Cancer; Ovarian Neoplasms; Ovarian Carcinoma; Mesothelioma, Malignant; Mesothelioma; Lung; Cancer; Triple Negative Breast Cancer (TNBC); Renal Cell Carcinoma (Kidney Cancer); Head and Neck Squamous Cell Carcinoma HNSCC"
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06057181,Helix Research Network,https://clinicaltrials.gov/study/NCT06057181,RECRUITING,,Genetic Predisposition to Disease; Genetics Disease
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06595719,Multi-Strain Probiotics Supplementation With Standard Care in Mild to Moderate Ulcerative Colitis,https://clinicaltrials.gov/study/NCT06595719,RECRUITING,NA,Ulcerative Colitis
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06256705,Multi-modal Characterisation of Gastroenteropancreatic Neuroendocrine Tumours (GEP-NETs) Treated With Targeted Radionuclide Therapy (TRT): Prospective Interventional Multicentre National Cohort,https://clinicaltrials.gov/study/NCT06256705,RECRUITING,NA,Gastroenteropancreatic Neuroendocrine Tumor; Radiotherapy
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07407894,iVS-1 Probiotic Intervention Targeting Biological Aging in Midlife Adults,https://clinicaltrials.gov/study/NCT07407894,RECRUITING,NA,Healthy Aging; Anti Aging
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT01597622,"BEL114333, a Continuation Study of BEL113750 in Subjects With Systemic Lupus Erythematosus (SLE) in Northeast Asia, and in Japan Subjects Completing the Open-label Extension of HGS1006-C1115",https://clinicaltrials.gov/study/NCT01597622,COMPLETED,PHASE3,Systemic Lupus Erythematosus
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05232331,Intake of Nitrate-rich Vegetables and Their Effect on Inflammatory Molecules and Oral Microbiota of Patients With Periodontitis,https://clinicaltrials.gov/study/NCT05232331,RECRUITING,NA,Periodontal Diseases; Periodontitis
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT00096772,Collection of Blood Samples From HIV Infected People,https://clinicaltrials.gov/study/NCT00096772,COMPLETED,,HIV Infections
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03087357,VAlidation of a Lower Cost aneUploidy scrEen,https://clinicaltrials.gov/study/NCT03087357,COMPLETED,,Down Syndrome; Trisomy 18; Trisomy 13
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04901351,Multi-site HPV Screening by High-throughput Sequencing in Patients With Chronic HPV-HR Infection Followed by Gynecology,https://clinicaltrials.gov/study/NCT04901351,RECRUITING,NA,Human Papillomavirus
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03940729,PWID; Longitudinal S Aureus Colonization Pattern and the Impact on Infection Frequency by Regular Showers With Chlorhexidine,https://clinicaltrials.gov/study/NCT03940729,COMPLETED,PHASE4,"Intravenous Drug Abuse, S Aureus Colonization"
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT02025595,Obesity and Brain: Genes and Environment,https://clinicaltrials.gov/study/NCT02025595,COMPLETED,,Obesity
