Query,Interest,Year,ID,Title,Link,Journal,Authors,DOI
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,34118759,Affecting RNA biology genome-wide by binding small molecules and chemically induced proximity.,https://pubmed.ncbi.nlm.nih.gov/34118759/,Curr Opin Chem Biol,Baisden JT; Childs-Disney JL; Ryan LS; Disney MD,10.1016/j.cbpa.2021.03.006
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40493189,CRISPR screens and quantitative proteomics reveal remodeling of the aryl hydrocarbon receptor-driven proteome through PARP7 activity.,https://pubmed.ncbi.nlm.nih.gov/40493189/,Proc Natl Acad Sci U S A,Gorelik A; Paulo JA; Schroeter CB; Lad M; Shurr A,10.1073/pnas.2424985122
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,37703922,CRISPR-Cas systems and diversity of targeting phages in Lactobacillus johnsonii strains; insights from genome mining approach.,https://pubmed.ncbi.nlm.nih.gov/37703922/,Infect Genet Evol,Nami Y; Rostampour M; Panahi B,10.1016/j.meegid.2023.105500
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,34955367,Epigenome rewiring in human pluripotent stem cells.,https://pubmed.ncbi.nlm.nih.gov/34955367/,Trends Cell Biol,Yan J; Huangfu D,10.1016/j.tcb.2021.12.001
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,35369840,Progress and future perspectives of livestock genomics in India: a mini review.,https://pubmed.ncbi.nlm.nih.gov/35369840/,Anim Biotechnol,Saravanan KA; Panigrahi M; Kumar H; Nayak SS; Rajawat D,10.1080/10495398.2022.2056046
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,37161089,Interpreting non-coding disease-associated human variants using single-cell epigenomics.,https://pubmed.ncbi.nlm.nih.gov/37161089/,Nat Rev Genet,Gaulton KJ; Preissl S; Ren B,10.1038/s41576-023-00598-6
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40113237,Advances in CRISPR-enabled genome-wide screens in yeast.,https://pubmed.ncbi.nlm.nih.gov/40113237/,FEMS Yeast Res,Robertson NR; Lee S; Tafrishi A; Wheeldon I,10.1093/femsyr/foaf013
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40272173,Deep mutational scanning and CRISPR-engineered viruses: tools for evolutionary and functional genomics studies.,https://pubmed.ncbi.nlm.nih.gov/40272173/,mSphere,Paz M; Moratorio G,10.1128/msphere.00508-24
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,31797393,"The impact of transposable elements on the structure, evolution and function of the rice genome.",https://pubmed.ncbi.nlm.nih.gov/31797393/,New Phytol,Akakpo R; Carpentier MC; Ie Hsing Y; Panaud O,10.1111/nph.16356
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,33455849,Forest and Trees: Exploring Bacterial Virulence with Genome-wide Association Studies and Machine Learning.,https://pubmed.ncbi.nlm.nih.gov/33455849/,Trends Microbiol,Allen JP; Snitkin E; Pincus NB; Hauser AR,10.1016/j.tim.2020.12.002
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,32026742,Applications of Functional Genomics for Drug Discovery.,https://pubmed.ncbi.nlm.nih.gov/32026742/,SLAS Discov,Kabadi A; McDonnell E; Frank CL; Drowley L,10.1177/2472555220902092
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,33926534,Next-generation microbiology: from comparative genomics to gene function.,https://pubmed.ncbi.nlm.nih.gov/33926534/,Genome Biol,Kobras CM; Fenton AK; Sheppard SK,10.1186/s13059-021-02344-9
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,33773494,Emerging issues in genomic selection.,https://pubmed.ncbi.nlm.nih.gov/33773494/,J Anim Sci,Misztal I; Aguilar I; Lourenco D; Ma L; Steibel JP,10.1093/jas/skab092
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,37372438,Genomic Association Analysis of Growth and Backfat Traits in Large White Pigs.,https://pubmed.ncbi.nlm.nih.gov/37372438/,Genes (Basel),Zhou P; Yin C; Wang Y; Yin Z; Liu Y,10.3390/genes14061258
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40372478,GDBIG: A Pioneering Birth Cohort Genomic Platform Facilitating Intergenerational Genetic Research.,https://pubmed.ncbi.nlm.nih.gov/40372478/,Genomics Proteomics Bioinformatics,Huang S; Wang C; Huang M; Lu J; He JR,10.1093/gpbjnl/qzaf045
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,33346713,"CRISPR-Cas ""Non-Target"" Sites Inhibit On-Target Cutting Rates.",https://pubmed.ncbi.nlm.nih.gov/33346713/,CRISPR J,Moreb EA; Hutmacher M; Lynch MD,10.1089/crispr.2020.0065
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,41285767,A genome-wide CRISPR screen identifies the TNRC18 gene locus as a regulator of inflammatory signaling.,https://pubmed.ncbi.nlm.nih.gov/41285767/,Nat Commun,Rahimov F; Ghosh S; Petiwala S; Schmidt M; Nyamugenda E,10.1038/s41467-025-65277-y
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,33823910,PCIP-seq: simultaneous sequencing of integrated viral genomes and their insertion sites with long reads.,https://pubmed.ncbi.nlm.nih.gov/33823910/,Genome Biol,Artesi M; Hahaut V; Cole B; Lambrechts L; Ashrafi F,10.1186/s13059-021-02307-0
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40918064,Cell-free DNA as a potential alternative to genomic DNA in genetic studies.,https://pubmed.ncbi.nlm.nih.gov/40918064/,NAR Genom Bioinform,Zeng J; Zhu H; Wang Y; Zeng G; Liu P,10.1093/nargab/lqaf119
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40643191,Populus VariantDB v3.2 facilitates CRISPR and functional genomics research.,https://pubmed.ncbi.nlm.nih.gov/40643191/,Tree Physiol,Zhou R; Seth SR; Reeves J; Burns AH; Hsieh C,10.1093/treephys/tpaf081
